"date","x_cn.sa","x_us.sa","x_de.sa","x_jp.sa","x_nl.sa","x_kr.sa","x_fr.sa","x_it.sa","x_uk.sa","x_in.sa","x_oecd.sa","x_briics.sa","ipi_us.sa","ipi_jp.sa","ipi_de.sa","ipi_kr.sa","ipi_it.sa","ipi_fr.sa","ipi_uk.sa","ipi_mx.sa","ipi_oecd.sa","rti_val_us.sa","rti_val_jp.sa","rti_val_de.sa","rti_val_uk.sa","rti_val_fr.sa","rti_val_it.sa","rti_val_ca.sa","rti_vol_us.sa","rti_vol_jp.sa","rti_vol_de.sa","rti_vol_uk.sa","rti_vol_fr.sa","rti_vol_it.sa","rti_vol_br.sa","rti_vol_ca.sa","rti_vol_oecd.sa","constr_us.sa","constr_oecd.sa","x_servs_oecd.sa","fdi_world","fdi_oecd","cci_us.sa","cci_cn.sa","cci_de.sa","cci_jp.sa","cci_uk.sa","cci_oecd.sa","bci_us.sa","bci_cn.sa","bci_de.sa","bci_jp.sa","bci_uk.sa","bci_nl.sa","bci_oecd.sa","manuf_orders_us.sa","manuf_orders_de.sa","manuf_orders_uk.sa","manuf_orders_nl.sa","x_servs_de","x_servs_fr","x_servs_ie","x_servs_nl","x_servs_uk","mar_freight_de","mar_freight_nl","ipi_eu27.sa","is_fr.sa","tourists_de","tourists_es","tourists_fr","tourists_it","tourists_uk","x_servs_us.sa","manuf_orders_us_2.sa","x_servs_cn","x_servs_sg","x_cn_2","constr_cn","freight_mar_cn","ipi_cn","rti_cn","pmi_manuf_cn.sa","export_orders_cn.sa","pmi_nm_cn2.sa","x_hk","x_servs_jp","ind_orders_ez.sa","p_manuf","tourists_mx","bci_servs_eu.sa","container_index.sa","is_jp.sa","is_uk.sa","is_br.sa","container_sg","air_freight_total_lhr","air_freight_intl_lhr","air_freight_hkg","p_comm","x_vol_world2","tourists_us","tourists_neasia","tourists_seasia","tourists_world","container_hk","transit_pa_canal","transit_suez_canal","air_freight_mem","container_exports_la","container_total_la","x_servs_world","x_world"
2002-01-01,24.8508133639267,55.939,45.7146290797355,30.7891039156626,18.272487826797,11.9282701745656,25.3657201756162,19.6809834538516,22.0799225511411,4.19098096678361,355.368437020218,47.1807842385004,92.1577438856217,94.1948080535405,79.8128342245989,50.408,122.989750854095,110.999075007708,100.350877192982,81.1521426641973,84.6316440537637,65.0090532645529,94.0156692782131,86.6,68.586162440911,68.3943004749604,88.7926006166153,60.7936422105354,86.7093459628842,96.4263274648339,94.307858988249,75.8620689655172,71.494042163153,112,52.0602839968638,70.8308727434688,84.1971686200123,80.0083597146409,89.1710918023655,NA,NA,NA,100.470315367772,101.022874060876,98.7348297926205,98.2545869936968,101.622759157656,100.432008665015,99.2273899704084,99.7915333250771,98.4400454209176,97.6640933868694,98.3157247997794,99.7182974308414,98.9151607008397,-11,-34.9,-36,-17.9,7878,NA,NA,NA,NA,NA,NA,89.1,NA,938191,1566395,NA,1137165,842730,22482,301973,NA,NA,21703291,NA,NA,NA,7.9,NA,NA,NA,106563,6705.57488253,78.34,NA,1604.617,1.1,NA,NA,72.6,NA,1322.5,NA,NA,166688,42.35,NA,NA,NA,NA,NA,1425,1049,NA,NA,187427.2,408236.45,NA,NA
2002-02-01,24.3843273970453,55.717,45.9777259774355,31.0830392267056,18.4663695073727,12.0232872065171,25.1938637090417,19.548191183583,22.1562736162324,3.58393121940627,355.445858132133,46.0704160378701,92.113700705241,95.479282708816,80.2139037433155,51.597,125.489542538122,111.93906717444,101.353383458647,80.6605125442329,85.3522081942413,65.3374176738234,92.4154025670945,86.3,69.1018478727976,70.2941421548204,88.5926172818932,59.89713732634,87.0004422741382,95.2736108939119,94.1078423201934,76.9070010449321,73.5938671777352,111.5,51.9557452739786,70.0191616240875,84.5675075546565,80.3516304583732,89.9711005702408,NA,NA,NA,100.674047527747,101.050958023535,98.6360502329162,98.4442470459309,101.69836539144,100.579156730104,99.8277518193044,100.977867549392,98.6289771348646,97.7021423021354,98.650353265739,99.8580656866885,99.2647497575166,6,-34.7,-34.2,-13.4,7484,NA,NA,NA,NA,NA,NA,89.8,NA,1068200,1884893,NA,1587172,692120,22747,307413,NA,NA,19137164,1511.79,NA,2.7,9.1,NA,NA,NA,95281,6826.98746191,78.97,NA,1410.336,-0.3,NA,NA,72.5,NA,1256.3,NA,NA,149040,43.06,NA,NA,NA,NA,NA,1148,941,NA,NA,190840.95,435007.7,NA,NA
2002-03-01,24.2801374035178,55.925,47.4382750749315,32.5336101798232,18.7873480125661,13.0318277941449,25.5388854711201,19.4554976705609,22.6025349184082,3.62058686570763,363.943024078331,47.3856798809946,92.8256828560935,96.4426387002727,80.4144385026738,52.411,126.28947587701,112.249064591128,102.155388471178,81.7802658290522,85.7253964940124,65.179447768823,92.9154859143191,86.6,69.8238074774388,70.2941421548204,88.9925839513374,59.8206035955834,86.5469869569923,95.5920636978591,94.2078506542212,77.4294670846395,73.3938838430131,111.8,52.0602839968638,69.6938329611609,84.5478139756576,78.6942589277633,88.6326730243165,NA,NA,NA,100.858262591735,101.076074285633,98.6023587589778,98.6073156257373,101.749312912295,100.70902634865,100.231038074029,101.53763161912,98.8402573144557,97.8116850662179,99.0196106440104,99.9257219133956,99.5632055467093,25,-36.5,-32.3,-15.3,7834,NA,7281,NA,36836.9,56448,100513,90.5,NA,1195970,2533310,NA,2468309,1182179,23377,305162,NA,6615.42630189202,23817766,3852.53,NA,10.9,8.3,NA,NA,NA,124033,7884.94993346,80.02,NA,2137.882,2.6,NA,NA,73.5,NA,1435,NA,NA,196938,48.25,NA,NA,NA,NA,NA,1496,1113,NA,NA,206612,436565.7,NA,NA
2002-04-01,25.761665920266,57.958,47.7835323062061,32.7973430656935,18.6735562709866,12.9215239139794,26.9510409041122,19.3139830152919,22.2781162825869,4.14552130171292,369.149097708401,50.8260892591614,93.0156498622994,96.0144804818475,80.6149732620321,52.99,121.889842513124,112.879059341172,101.052631578947,81.7031253100939,86.2198039775148,66.2629235377905,92.8154692448742,87.6,70.5457670820799,70.3941338221815,89.2925589534205,61.162661580382,87.5930805809063,95.1953530716658,95.3079423285274,78.6833855799373,73.293892175652,111.5,52.0602839968638,69.9632320339714,84.9787004628118,79.9697836864364,89.2778640484627,NA,NA,NA,100.910153596678,101.084506499412,98.5938317324734,98.7049043504094,101.774372757612,100.75600756733,100.388528240019,101.736026452131,99.0168984290987,98.0194866060119,99.3899555091728,99.9340896761536,99.72546990219,12,-34.7,-27.8,-14.8,9024,NA,NA,NA,NA,NA,NA,89.9,NA,1365776,2838278,NA,2835534,1421629,23186,311737,NA,NA,26723688,5974.72,NA,12.1,8.2,NA,NA,NA,123118,6870.46172276,79.72,NA,1962.738,6.6,NA,NA,72.2,NA,1392.6,NA,NA,205190,50.58,NA,NA,NA,NA,NA,1604,1077,NA,NA,216926.5,484299.25,NA,NA
2002-05-01,25.3978688746645,58.182,47.2264626944179,34.3551409201967,19.663484074505,13.8197418425483,27.1421802994433,20.6346348132366,24.9291796285116,4.07930388310956,379.866563163754,49.134726345575,93.4929321123311,99.9749440022805,79.8128342245989,52.496,126.589450879093,111.25907284106,101.854636591479,80.7430720088163,86.5950720642024,65.3201753727961,93.3155525920987,86.9,69.9269445638161,71.6940254978752,89.4925422881426,60.0348186560532,86.2506518458719,95.4146754520436,94.7078923243604,78.1609195402299,74.4937921839847,111.6,52.0602839968638,69.4206271623216,84.5711513097672,79.2891124641333,88.7863477332581,NA,NA,NA,100.884521962169,101.099269510905,98.6056238937762,98.6976507722653,101.714231689802,100.74666596691,100.399779954,101.911444963426,99.1201394140924,98.2697665507844,99.6462035581389,99.9149339317396,99.7692170312511,13,-32.4,-25.6,-13.9,7895,NA,NA,NA,NA,NA,NA,90,NA,1556543,3622160,NA,4455179,1418603,23499,315503,NA,NA,24644182,7191.76,NA,12.9,9.3,NA,NA,NA,125873,7374.19162457,80.73,NA,1591.087,5,NA,NA,73.4,NA,1452.7,NA,NA,208759,50.72,NA,NA,NA,NA,NA,1539,1033,NA,NA,246829.7,531214.2,NA,NA
2002-06-01,26.3760983015495,58.772,53.3751434772222,35.7811772341893,20.7329909920151,12.8598437920229,28.0320896897147,21.5763756515826,23.156688916427,4.18899603002303,390.832826315501,50.2445110872756,94.542972768522,98.9045484562175,81.8181818181818,51.788,125.089575868678,111.159073674386,96.3408521303258,81.1630413055029,86.6151829018061,65.8795359031828,92.6154359059844,85.5,68.7924366136656,71.1940671610699,89.5925339555037,61.4181617669492,86.9408127013623,94.795737877159,93.707808984082,77.115987460815,73.9938338471794,111.9,51.1194354908964,70.4985162786428,84.5437814141848,78.9016749634713,88.6663002040239,NA,NA,NA,100.637899421453,101.127135379151,98.6594547273558,98.6268399805649,101.657388907352,100.633918670087,100.229139653443,102.277077232122,99.1257104655208,98.4955694296191,99.8267367542062,99.8855634891393,99.7168100736219,7,-33.8,-14.5,-14,8713,NA,8115,NA,37988.6,58783,104256,90.7,NA,1725565,3720854,NA,4119985,1821185,23496,309128,NA,6770.72804779123,26012762,9736.5,NA,12.4,8.6,NA,NA,NA,124875,6660.18453559,80.27,NA,1587.63,2.7,NA,NA,73.7,NA,1421.5,NA,NA,207631,49.58,NA,NA,NA,NA,NA,1612,960,NA,NA,235014.55,536461.5,NA,NA
2002-07-01,27.7278626099984,59.129,52.4500784324396,36.7179427855657,21.274671334825,13.3348502572224,28.5801754713506,22.0375022289831,25.1322830911796,4.58480193260996,397.352757773673,53.8621605677828,94.2134864258081,99.5467857838553,80.4144385026738,53.474,124.489625864511,109.979083507637,100.451127819549,81.2551589742971,86.804907683843,66.639211401387,91.4152358726454,86.9,70.1332187365707,71.7940171652362,89.7925172902258,61.0778221834881,87.7479220484586,93.9519382041577,95.2079339944996,78.5788923719958,74.5937838513457,112.3,51.746667828208,70.1037880719595,85.1469930771478,78.9344739053262,88.3486364825927,NA,NA,NA,100.307716526239,101.143870364697,98.6895723337936,98.5323030176997,101.685837453147,100.47706777695,99.8624897486569,102.74549199016,99.0718847261029,98.6476564638825,99.8975329785519,99.8679867539602,99.585062079054,-9,-34.1,-21.6,-15.4,9307,NA,NA,NA,NA,NA,NA,89.9,NA,2306791,4522222,NA,4944858,2532100,23456,310741,NA,NA,29209981,11939.64,NA,12.8,8.6,NA,NA,NA,146415,6704.70319659,80.32,NA,1634.625,1.1,NA,NA,73.8,NA,1497.5,NA,NA,217738,50.43,NA,NA,NA,NA,NA,1711,964,NA,NA,223758.35,495690.45,NA,NA
2002-08-01,28.1805419885514,59.173,54.5627516786913,35.327296274082,21.0114409698247,14.4955837260873,29.1784546230247,21.9647237921436,22.9560663799379,4.57445467247572,396.397574797588,54.4880896637575,94.4411906536824,99.8679044476742,82.1189839572192,54.253,123.189734188818,112.609061591153,101.353383458647,81.5785421394679,87.2502555682829,67.1907114710113,92.9154859143191,86.4,69.8238074774388,72.0939921673194,89.7925172902258,61.4143875070609,88.2290352394719,95.200292944999,94.7078923243604,78.4743991640543,74.6937755187068,112.1,52.1648227197491,70.218282677904,85.6032546893784,78.1777687723593,88.2711923114704,NA,NA,NA,100.035613413992,101.155452595381,98.6422885462257,98.4338725062584,101.783434924973,100.332057402145,99.6038880879165,103.125767833806,99.0322939950728,98.7478744256275,99.874409838772,99.9057672827223,99.5231848078752,-10,-35.4,-19.6,-12.5,9031,NA,NA,NA,NA,NA,NA,90.7,NA,2084257,4852531,NA,4479793,2388071,23799,318793,NA,NA,29437423,13679.84,NA,12.7,8.8,NA,NA,NA,141221,7046.73165975,80.88,NA,1500.839,-4.2,NA,NA,74.5,NA,1473.6,NA,NA,252310,51.23,NA,NA,NA,NA,NA,1715,953,NA,NA,265804.55,605493.8,NA,NA
2002-09-01,29.6298990423677,58.639,54.5560245048654,36.2323613793104,21.5038208654199,13.9075591373859,28.6737894242878,22.3233075329062,24.1033689483563,4.45613041568069,399.382500909016,56.7444260301358,94.545337503039,100.724220884525,81.2165775401069,53.645,125.389550870761,110.639078007683,100.551378446115,81.3249502677382,87.3216303718035,66.089739837766,92.8154692448742,87.2,69.9269445638161,72.2939755020415,89.8925089575869,61.0770673315105,86.6393355482732,95.0978168492563,95.6079673306109,78.3699059561128,74.5937838513457,111.8,51.6421291053228,69.8835836124448,84.9234675096136,77.5372576180662,88.55743166952,NA,NA,NA,99.797569230749,101.181337080781,98.4969833072454,98.3365644499376,101.889939414138,100.19215033944,99.476224267266,103.217841947497,99.0508816547907,98.8213800615472,99.7421358777159,99.8688474167617,99.5424647065021,-11,-35.6,-22.5,-15.9,8539,NA,8169,NA,44125.1,59061,101306,90.7,NA,1815686,3886164,NA,4364352,1880798,23495,311141,NA,7244.4164593069,31910755,15909.04,NA,13.8,9.1,NA,NA,NA,148033,6176.39671394,80.25,NA,1153.702,-2,NA,NA,75.2,NA,1430.1,NA,NA,198108,54.04,NA,NA,NA,NA,NA,1827,891,NA,NA,258275.7,589242.15,NA,NA
2002-10-01,29.0650766201707,58.066,53.8219910370769,35.7932829222078,21.3259409331873,14.3535324842922,28.5619575644762,22.469126117708,23.1709011646043,4.68000300229284,396.663278240215,56.9687714393564,94.1999877329397,100.724220884525,80.3141711229946,53.977,123.889675860345,109.719085674286,99.3483709273183,81.8605223667449,87.0761308899796,66.4394035600703,91.91531921987,87,70.236355822948,72.4939588367636,91.0924089659195,62.09023240919,86.9054531655474,94.3689109033573,95.4079506625552,78.7878787878788,74.6937755187068,112.9,52.0602839968638,70.6203315115658,85.0867208014606,78.2413167222034,88.3975794197354,NA,NA,NA,99.6178594907645,101.242873481536,98.108900523109,98.2396535830287,101.819908930529,100.031701014909,99.4168217089809,102.994997739133,99.0842338276597,98.8807335894457,99.6794050496704,99.8162441793982,99.5750772905646,-13,-33.1,-29.5,-16.6,9178,NA,NA,NA,NA,NA,NA,90.1,NA,1538653,3234850,NA,3293223,1476477,23591,315095,NA,NA,29946376,17938,NA,14.2,9.4,NA,NA,NA,150530,6651.15899419,79.01,NA,1283.57,-4.9,NA,NA,75.6,NA,1437.6,NA,NA,159973,54.67,NA,NA,NA,NA,NA,1694,917,NA,NA,205753.25,470970.6,NA,NA
